Player Name,Conference,Position,Total Votes
LeBron James,Eastern,Frontcourt,1893751
Giannis Antetokounmpo,Eastern,Frontcourt,1604463
Joel Embiid,Eastern,Frontcourt,922174
Kevin Love,Eastern,Frontcourt,909488
Jimmy Butler,Eastern,Frontcourt,691072
Carmelo Anthony,Eastern,Frontcourt,544133
Kristaps Porzingis,Eastern,Frontcourt,486527
Paul George,Eastern,Frontcourt,426325
Tristan Thompson,Eastern,Frontcourt,245822
Jabari Parker,Eastern,Frontcourt,198574
Hassan Whiteside,Eastern,Frontcourt,169746
Ersan Ilyasova,Eastern,Frontcourt,162185
Dwight Howard,Eastern,Frontcourt,151155
Al Horford,Eastern,Frontcourt,122190
Andre Drummond,Eastern,Frontcourt,100797
Marcin Gortat,Eastern,Frontcourt,66667
Jonas Valanciunas,Eastern,Frontcourt,57857
Richard Jefferson,Eastern,Frontcourt,53771
Channing Frye,Eastern,Frontcourt,46384
Paul Millsap,Eastern,Frontcourt,39551
Terrence Ross,Eastern,Frontcourt,38516
Jae Crowder,Eastern,Frontcourt,31413
Serge Ibaka,Eastern,Frontcourt,29123
Brook Lopez,Eastern,Frontcourt,27227
Joakim Noah,Eastern,Frontcourt,26886
DeMarre Carroll,Eastern,Frontcourt,26782
Patrick Patterson,Eastern,Frontcourt,24390
Aaron Gordon,Eastern,Frontcourt,22774
Lucas Nogueira,Eastern,Frontcourt,19837
Myles Turner,Eastern,Frontcourt,18655
James Jones,Eastern,Frontcourt,16782
Chris Andersen,Eastern,Frontcourt,16219
Taj Gibson,Eastern,Frontcourt,15589
Michael Beasley,Eastern,Frontcourt,15458
Jaylen Brown,Eastern,Frontcourt,12370
Mindaugas Kuzminskas,Eastern,Frontcourt,12272
Nerlens Noel,Eastern,Frontcourt,12079
Greg Monroe,Eastern,Frontcourt,12006
Boban Marjanovic,Eastern,Frontcourt,11551
Thon Maker,Eastern,Frontcourt,11233
Dario Saric,Eastern,Frontcourt,11068
Nikola Mirotic,Eastern,Frontcourt,10803
Willy Hernangomez,Eastern,Frontcourt,10672
Otto Porter,Eastern,Frontcourt,10661
Jahlil Okafor,Eastern,Frontcourt,10621
Kyle O'Quinn,Eastern,Frontcourt,9570
Michael Kidd-Gilchrist,Eastern,Frontcourt,8987
John Henson,Eastern,Frontcourt,8932
Robin Lopez,Eastern,Frontcourt,8763
Pascal Siakam,Eastern,Frontcourt,8339
Robert Covington,Eastern,Frontcourt,8068
Amir Johnson,Eastern,Frontcourt,7916
Bismack Biyombo,Eastern,Frontcourt,7804
Doug McDermott,Eastern,Frontcourt,7464
Kelly Olynyk,Eastern,Frontcourt,7439
Nikola Vucevic,Eastern,Frontcourt,7208
Cody Zeller,Eastern,Frontcourt,6168
Tobias Harris,Eastern,Frontcourt,5884
Kent Bazemore,Eastern,Frontcourt,5684
Luis Scola,Eastern,Frontcourt,5563
Frank Kaminsky,Eastern,Frontcourt,5419
Justise Winslow,Eastern,Frontcourt,5404
Mirza Teletovic,Eastern,Frontcourt,5351
Bruno Caboclo,Eastern,Frontcourt,5185
Markieff Morris,Eastern,Frontcourt,5065
Trevor Booker,Eastern,Frontcourt,5034
Mike Dunleavy,Eastern,Frontcourt,5010
Jonas Jerebko,Eastern,Frontcourt,4651
Marvin Williams,Eastern,Frontcourt,4243
Cristiano Felicio,Eastern,Frontcourt,4225
Jakob Poeltl,Eastern,Frontcourt,4200
Kelly Oubre,Eastern,Frontcourt,3995
Steve Novak,Eastern,Frontcourt,3909
Lavoy Allen,Eastern,Frontcourt,3888
Timothe Luwawu,Eastern,Frontcourt,3600
James Johnson,Eastern,Frontcourt,3335
Udonis Haslem,Eastern,Frontcourt,3163
