Player Name,Conference,Position,Total Votes,Rank
LeBron James,Eastern,Frontcourt,198,1
Giannis Antetokounmpo,Eastern,Frontcourt,162,2
Jimmy Butler,Eastern,Frontcourt,68,3
Paul George,Eastern,Frontcourt,64,4
Kristaps Porzingis,Eastern,Frontcourt,51,5
Carmelo Anthony,Eastern,Frontcourt,50,6
Kevin Love,Eastern,Frontcourt,47,7
Joel Embiid,Eastern,Frontcourt,43,8
Andre Drummond,Eastern,Frontcourt,30,9
Jabari Parker,Eastern,Frontcourt,22,10
Myles Turner,Eastern,Frontcourt,14,11
Brook Lopez,Eastern,Frontcourt,13,12 (tie)
Paul Millsap,Eastern,Frontcourt,13,12 (tie)
Hassan Whiteside,Eastern,Frontcourt,11,14
Tristan Thompson,Eastern,Frontcourt,9,15
Al Horford,Eastern,Frontcourt,8,16
Trevor Booker,Eastern,Frontcourt,7,17 (tie)
Thaddeus Young,Eastern,Frontcourt,7,17 (tie)
Michael Beasley,Eastern,Frontcourt,6,19 (tie)
Taj Gibson,Eastern,Frontcourt,6,19 (tie)
Marcin Gortat,Eastern,Frontcourt,6,19 (tie)
Dwight Howard,Eastern,Frontcourt,6,19 (tie)
Greg Monroe,Eastern,Frontcourt,6,19 (tie)
Markieff Morris,Eastern,Frontcourt,6,19 (tie)
Joakim Noah,Eastern,Frontcourt,5,25
Jahlil Okafor,Eastern,Frontcourt,4,26 (tie)
Jonas Valanciunas,Eastern,Frontcourt,4,26 (tie)
Quincy Acy,Eastern,Frontcourt,3,28 (tie)
Kent Bazemore,Eastern,Frontcourt,3,28 (tie)
Bismack Biyombo,Eastern,Frontcourt,3,28 (tie)
Rondae Hollis-Jefferson,Eastern,Frontcourt,3,28 (tie)
Serge Ibaka,Eastern,Frontcourt,3,28 (tie)
James Johnson,Eastern,Frontcourt,3,28 (tie)
Robin Lopez,Eastern,Frontcourt,3,28 (tie)
Boban Marjanovic,Eastern,Frontcourt,3,28 (tie)
Miles Plumlee,Eastern,Frontcourt,3,28 (tie)
Otto Porter,Eastern,Frontcourt,3,28 (tie)
Cody Zeller,Eastern,Frontcourt,3,28 (tie)
Luke Babbitt,Eastern,Frontcourt,2,40 (tie)
Aron Baynes,Eastern,Frontcourt,2,40 (tie)
Rakeem Christmas,Eastern,Frontcourt,2,40 (tie)
Robert Covington,Eastern,Frontcourt,2,40 (tie)
Channing Frye,Eastern,Frontcourt,2,40 (tie)
Jeff Green,Eastern,Frontcourt,2,40 (tie)
Tobias Harris,Eastern,Frontcourt,2,40 (tie)
John Henson,Eastern,Frontcourt,2,40 (tie)
Willy Hernangomez,Eastern,Frontcourt,2,40 (tie)
Danuel House,Eastern,Frontcourt,2,40 (tie)
Ersan Ilyasova,Eastern,Frontcourt,2,40 (tie)
Frank Kaminsky,Eastern,Frontcourt,2,40 (tie)
Thon Maker,Eastern,Frontcourt,2,40 (tie)
Marcus Morris,Eastern,Frontcourt,2,40 (tie)
Nerlens Noel,Eastern,Frontcourt,2,40 (tie)
Kelly Olynyk,Eastern,Frontcourt,2,40 (tie)
Kelly Oubre,Eastern,Frontcourt,2,40 (tie)
Marshall Plumlee,Eastern,Frontcourt,2,40 (tie)
Nikola Vucevic,Eastern,Frontcourt,2,40 (tie)
Marvin Williams,Eastern,Frontcourt,2,40 (tie)
Lavoy Allen,Eastern,Frontcourt,1,60 (tie)
DeAndre Bembry,Eastern,Frontcourt,1,60 (tie)
Jaylen Brown,Eastern,Frontcourt,1,60 (tie)
DeMarre Carroll,Eastern,Frontcourt,1,60 (tie)
Cristiano Felicio,Eastern,Frontcourt,1,60 (tie)
Spencer Hawes,Eastern,Frontcourt,1,60 (tie)
Richaun Holmes,Eastern,Frontcourt,1,60 (tie)
Al Jefferson,Eastern,Frontcourt,1,60 (tie)
Richard Jefferson,Eastern,Frontcourt,1,60 (tie)
Amir Johnson,Eastern,Frontcourt,1,60 (tie)
Stanley Johnson,Eastern,Frontcourt,1,60 (tie)
Michael Kidd-Gilchrist,Eastern,Frontcourt,1,60 (tie)
Mindaugas Kuzminskas,Eastern,Frontcourt,1,60 (tie)
Jon Leuer,Eastern,Frontcourt,1,60 (tie)
Timothe Luwawu,Eastern,Frontcourt,1,60 (tie)
Chris McCullough,Eastern,Frontcourt,1,60 (tie)
Nikola Mirotic,Eastern,Frontcourt,1,60 (tie)
Mike Muscala,Eastern,Frontcourt,1,60 (tie)
Lucas Nogueira,Eastern,Frontcourt,1,60 (tie)
Daniel Ochefu,Eastern,Frontcourt,1,60 (tie)
Kyle O'Quinn,Eastern,Frontcourt,1,60 (tie)
Patrick Patterson,Eastern,Frontcourt,1,60 (tie)
Taurean Prince,Eastern,Frontcourt,1,60 (tie)
Damjan Rudez,Eastern,Frontcourt,1,60 (tie)
Dario Saric,Eastern,Frontcourt,1,60 (tie)
Thabo Sefolosha,Eastern,Frontcourt,1,60 (tie)
Jason Smith,Eastern,Frontcourt,1,60 (tie)
Lance Thomas,Eastern,Frontcourt,1,60 (tie)
Justise Winslow,Eastern,Frontcourt,1,60 (tie)
Tyler Zeller,Eastern,Frontcourt,1,60 (tie)
Kyrie Irving,Eastern,Guard,130,1
Isaiah Thomas,Eastern,Guard,92,2
DeMar DeRozan,Eastern,Guard,91,3
John Wall,Eastern,Guard,49,4
Kyle Lowry,Eastern,Guard,40,5
Dwyane Wade,Eastern,Guard,33,6
Kemba Walker,Eastern,Guard,31,7
Bradley Beal,Eastern,Guard,16,8
Derrick Rose,Eastern,Guard,14,9 (tie)
Jeff Teague,Eastern,Guard,14,9 (tie)
Nicolas Batum,Eastern,Guard,10,11
Avery Bradley,Eastern,Guard,8,12 (tie)
Sergio Rodriguez,Eastern,Guard,8,12 (tie)
Malcolm Brogdon,Eastern,Guard,7,14
Matthew Dellavedova,Eastern,Guard,6,15 (tie)
Goran Dragic,Eastern,Guard,6,15 (tie)
Reggie Jackson,Eastern,Guard,6,15 (tie)
Courtney Lee,Eastern,Guard,6,15 (tie)
Bojan Bogdanovic,Eastern,Guard,5,19
DJ Augustin,Eastern,Guard,4,20 (tie)
Michael Carter-Williams,Eastern,Guard,4,20 (tie)
Monta Ellis,Eastern,Guard,4,20 (tie)
Randy Foye,Eastern,Guard,4,20 (tie)
TJ McConnell,Eastern,Guard,4,20 (tie)
Glenn Robinson,Eastern,Guard,4,20 (tie)
Kentavious Caldwell-Pope,Eastern,Guard,3,26 (tie)
Mario Hezonja,Eastern,Guard,3,26 (tie)
Sean Kilpatrick,Eastern,Guard,3,26 (tie)
Dennis Schroder,Eastern,Guard,3,26 (tie)
JR Smith,Eastern,Guard,3,26 (tie)
Jason Terry,Eastern,Guard,3,26 (tie)
Jerryd Bayless,Eastern,Guard,2,32 (tie)
Isaiah Canaan,Eastern,Guard,2,32 (tie)
Wayne Ellington,Eastern,Guard,2,32 (tie)
Evan Fournier,Eastern,Guard,2,32 (tie)
Jerian Grant,Eastern,Guard,2,32 (tie)
Jeremy Lin,Eastern,Guard,2,32 (tie)
Jordan McRae,Eastern,Guard,2,32 (tie)
Khris Middleton,Eastern,Guard,2,32 (tie)
Tony Snell,Eastern,Guard,2,32 (tie)
Malcolm Delaney,Eastern,Guard,1,41 (tie)
Michael Gbinije,Eastern,Guard,1,41 (tie)
Gerald Green,Eastern,Guard,1,41 (tie)
Gerald Henderson,Eastern,Guard,1,41 (tie)
Justin Holiday,Eastern,Guard,1,41 (tie)
Kyle Korver,Eastern,Guard,1,41 (tie)
DeAndre Liggins,Eastern,Guard,1,41 (tie)
Elfrid Payton,Eastern,Guard,1,41 (tie)
Rajon Rondo,Eastern,Guard,1,41 (tie)
Tomas Satoransky,Eastern,Guard,1,41 (tie)
Iman Shumpert,Eastern,Guard,1,41 (tie)
Ish Smith,Eastern,Guard,1,41 (tie)
Denzel Valentine,Eastern,Guard,1,41 (tie)
Dion Waiters,Eastern,Guard,1,41 (tie)
Isaiah Whitehead,Eastern,Guard,1,41 (tie)
Russell Westbrook,Western,Guard,167,1
James Harden,Western,Guard,149,2
Stephen Curry,Western,Guard,63,3
Damian Lillard,Western,Guard,33,4
CJ McCollum,Western,Guard,23,5
Chris Paul,Western,Guard,22,6
Mike Conley,Western,Guard,17,7
Klay Thompson,Western,Guard,14,8
Emmanuel Mudiay,Western,Guard,11,9
Devin Booker,Western,Guard,10,10 (tie)
Gary Harris,Western,Guard,10,10 (tie)
Rodney Hood,Western,Guard,10,10 (tie)
George Hill,Western,Guard,9,13 (tie)
Victor Oladipo,Western,Guard,9,13 (tie)
Tony Allen,Western,Guard,8,15 (tie)
Eric Gordon,Western,Guard,8,15 (tie)
