Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
276,Aaron Brooks,IND,2700000,,,,,,Cap Space,2700000
210,Aaron Gordon,ORL,4351320,5504420,,,,,1st Round Pick,9855740
494,Aaron Harrison,CHO,375579,,,,,,,375579
309,Adreian Payne,MIN,2022240,,,,,,1st Round Pick,2022240
447,AJ Hammons,DAL,650000,1312611,1544951,,,,Cap Space,2605511
5,Al Horford,BOS,26540100,27734405,28928710,30123015,,,Cap Space,83203215
106,Al Jefferson,IND,10230179,9769821,10000000,,,,Cap Space,24000000
137,Al-Farouq Aminu,POR,7680965,7319035,6957105,,,,Cap Space,21957105
371,Alan Anderson,LAC,1315448,,,,,,Minimum Salary,1315448
433,Alan Williams,PHO,874636,,,,,,Minimum Salary,874636
107,Alec Burks,UTA,10154495,10845506,11536515,,,,1st Round Pick,32536516
169,Alex Abrines,OKC,5994764,5725000,5455236,,,,Cap Space,17175000
201,Alex Len,PHO,4823621,,,,,,1st Round Pick,4823621
613,Alex Poythress,IND,73743,,,,,,,35381
205,Alexis Ajinca,NOP,4600000,4900000,5300000,,,,Early Bird Rights,14800000
31,Allen Crabbe,POR,18500000,18500000,19332500,18500000,,,Cap Space,56332500
360,Alonzo Gee,NOP,1827704,,,,,,,1400000
88,Amir Johnson,BOS,12000000,,,,,,Cap Space,12000000
312,Anderson Varejao,POR,10851659,1984005,1984005,1984005,1984005,,,9920025
17,Andre Drummond,DET,22116750,23775506,25434263,27093019,28751775,,Cap Space,98419538
95,Andre Iguodala,GSW,11131368,,,,,,Bird Rights,11131368
302,Andre Roberson,OKC,2183072,,,,,,1st Round Pick,2183072
97,Andrew Bogut,PHI,11410378,,,,,,,11027027
425,Andrew Harrison,MEM,945000,1312611,1544951,,,,Cap Space,1045000
162,Andrew Nicholson,BRK,6088993,6362998,6637002,6911007,,,Cap Space,19088993
164,Andrew Wiggins,MIN,6006600,7574322,,,,,1st Round Pick,13580922
409,Anthony Bennett,BRK,1015696,,,,,,,1015696
435,Anthony Brown,LAL,1023838,,,,,,,874636
16,Anthony Davis,NOP,22116750,23775506,25434263,27093019,28751775,,1st Round Pick,127171313
243,Anthony Morrow,CHI,3488000,,,,,,Cap Space,3488000
129,Anthony Tolliver,SAC,8000000,8000000,,,,,Cap Space,10000000
306,Archie Goodwin,PHO,2350999,,,,,,,2094089
487,Arinze Onuaku,ORL,440078,,,,,,,440078
155,Aron Baynes,DET,6500000,6500000,,,,,Cap Space,6500000
77,Arron Afflalo,SAC,12500000,12500000,,,,,Cap Space,14000000
98,Austin Rivers,LAC,11000000,11825000,12650000,,,,Cap Space,22825000
124,Avery Bradley,BOS,8269663,8808989,,,,,Bird Rights,17078652
591,Axel Toupane,MIL,977534,,,,,,,51449
508,Ben Bentil,BOS,281968,,,,,,,250000
217,Ben McLemore,SAC,4008882,,,,,,1st Round Pick,4008882
342,Beno Udrih,DET,1551659,,,,,,Minimum Salary,1551659
43,Bismack Biyombo,ORL,17000000,17000000,17000000,18872365,,,Cap Space,51000000
28,Blake Griffin,LAC,20140838,21373950,,,,,Bird Rights,41514788
145,Boban Marjanovic,DET,7000000,7000000,7000000,,,,Cap Space,21000000
446,Bobby Brown,HOU,940070,,,,,,Minimum Salary,680534
351,Bobby Portis,CHI,1453680,1516320,2494346,,,,1st Round pick,2970000
232,Bojan Bogdanovic,WAS,3730653,,,,,,MLE,3730653
147,Boris Diaw,UTA,7000000,7500000,,,,,Bird Rights,7000000
15,Bradley Beal,WAS,22116750,23775506,25434263,27093019,28751775,,Cap Space,127171313
176,Brandan Wright,MEM,5700000,6000000,,,,,MLE,11700000
338,Brandon Bass,LAC,1551659,,,,,,Minimum Salary,1551659
188,Brandon Ingram,LAL,5281680,5519400,5757120,7265485,,,1st Round pick,10801080
199,Brandon Jennings,NYK,5587318,,,,,,,4837318
73,Brandon Knight,PHO,12606250,13618750,14631250,15643750,,,,56500000
241,Brandon Rush,MIN,3500000,,,,,,Cap Space,3500000
400,Brian Roberts,CHO,1050961,,,,,,Minimum Salary,1050961
496,Briante Weber,MIA,623447,,,,,,,328000
375,Brice Johnson,LAC,1273920,1331160,1544951,2500725,,,1st Round pick,2605080
25,Brook Lopez,BRK,21165675,22642350,,,,,Bird Rights,43808025
330,Bruno Caboclo,TOR,1589640,2451225,,,,,1st Round Pick,4040865
465,Bryn Forbes,SAS,543471,1312611,,,,,Minimum Salary,543471
239,Buddy Hield,SAC,3517200,3675480,3833760,4861208,,,1st Round pick,7192680
305,Cameron Payne,CHI,2112480,2203440,3263295,,,,1st round pick,4315920
