Tm,W,L,Pct,GB,Home,Road,Conf,Div,Streak,L10
BOS,53,29,0.646,-,30-11,23-18,36-16,5-Nov,W3,3-Jul
CLE,51,31,0.622,2,31-10,20-21,35-17,8-Aug,L4,6-Apr
TOR,51,31,0.622,2,28-13,23-18,34-18,14-2,W4,2-Aug
WAS,49,33,0.598,4,30-11,19-22,32-20,8-Aug,L1,5-May
ATL,43,39,0.524,10,23-18,20-21,30-22,10-Jun,L1,4-Jun
MIL,42,40,0.512,11,23-18,19-22,27-25,6-Oct,L1,5-May
IND,42,40,0.512,11,29-12,13-28,26-26,8-Aug,W5,4-Jun
CHI,41,41,0.5,12,25-16,16-25,28-24,7-Sep,W2,3-Jul
MIA,41,41,0.5,12,23-18,18-23,27-25,7-Sep,W3,4-Jun
DET,37,45,0.451,16,24-17,13-28,21-31,11-May,L2,7-Mar
CHO,36,46,0.439,17,22-19,14-27,22-30,6-Oct,L5,6-Apr
NYK,31,51,0.378,22,19-22,29-Dec,22-30,11-May,W1,6-Apr
ORL,29,53,0.354,24,16-25,13-28,20-32,9-Jul,W1,7-Mar
PHI,28,54,0.341,25,17-24,30-Nov,19-33,9-Jul,L8,9-Jan
BRK,20,62,0.244,33,13-28,Jul-34,Nov-41,13-Mar,L2,5-May
GSW,67,15,0.817,-,36-5,31-10,42-10,14-2,W1,1-Sep
SAS,61,21,0.744,6,31-10,30-11,36-16,5-Nov,L3,5-May
HOU,55,27,0.671,12,30-11,25-16,36-16,6-Oct,W1,5-May
LAC,51,31,0.622,16,29-12,22-19,31-21,6-Oct,W7,2-Aug
UTA,51,31,0.622,16,29-12,22-19,31-21,8-Aug,W2,3-Jul
OKC,47,35,0.573,20,28-13,19-22,29-23,6-Oct,L1,4-Jun
MEM,43,39,0.524,24,24-17,19-22,28-24,8-Aug,L2,7-Mar
POR,41,41,0.5,26,25-16,16-25,28-24,5-Nov,L1,3-Jul
DEN,40,42,0.488,27,22-19,18-23,24-28,10-Jun,W2,5-May
NOP,34,48,0.415,33,21-20,13-28,20-32,10-Jun,W1,6-Apr
DAL,33,49,0.402,34,21-20,29-Dec,19-33,11-May,W1,8-Feb
SAC,32,50,0.39,35,17-24,15-26,21-31,9-Jul,L1,5-May
MIN,31,51,0.378,36,20-21,30-Nov,18-34,11-May,L6,7-Mar
LAL,26,56,0.317,41,17-24,Sep-32,16-36,10-Jun,L1,5-May
PHO,24,58,0.293,43,15-26,Sep-32,Nov-41,13-Mar,L1,8-Feb
